username,content,date
['無祂'],"            <img class=""BDE_Image"" src=""https://imgsa.baidu.com/forum/w%3D580/sign=7c9bd4586281800a6ee58906813733d6/3f54768b4710b912653fdb29cdfdfc0393452234.jpg"" size=""37074"" width=""470"" height=""541"" size=""37074"">",2019-08-06 15:54
['無祂'],            时值英雄联盟各大赛区夏季常规赛进行之际，每一支战队都在努力拼搏，只为了能够闯进季后赛，去争夺那张通往S9全球总决赛的门票，向世人展示自己出众的实力。<br><br>远在LCK赛区的KZ战队，春季赛的时候便是让观众们看到了他们的逆袭之路，从转回后最开始的不被看好、低谷，然后到一路过关斩将，杀进了季后赛，季后赛中更是直接杀到前四名，拿到了洲际赛的资格。洲际赛上KZ也是发挥神勇，决赛中首当其中将我们LPL赛区的一号种子iG斩落马下拿到开门红，成为了这一次洲际赛LCK赛区夺冠的最关键一战，KZ绝对是大功臣。,2019-08-06 15:55
['無祂'],"            但是没想到的是夏季赛后半段KZ战队从前几名急转直下，一波四连败让人都看傻了眼，为什么前后差别能这么大。可是屋漏偏逢连夜雨，KZ前分析师又跳出来爆料说：KZ现在出现了财务问题，跟赞助商有关，所有工作人员全部罢工离队，仅剩下选手们和三名教练在苦苦支撑。<br><br><br><br><img class=""BDE_Image"" src=""https://imgsa.baidu.com/forum/w%3D580/sign=0148493d8fcb39dbc1c0675ee01709a7/5921074f78f0f736734f61d60455b319eac4137d.jpg"" size=""30514"" changedsize=""true"" width=""560"" height=""253"" size=""30514"">",2019-08-06 15:55
['無祂'],"            此话一出便在韩国论坛引起了轩然大波，根据NGA论坛搬运的帖子来看，还有网友把这件事儿扯到了苏宁身上，说什么如果SN和KZ同时获得季后赛资格的话KZ必须放弃世界赛之类的。<br><img class=""BDE_Image"" src=""https://imgsa.baidu.com/forum/w%3D580/sign=aacfcafc00f41bd5da53e8fc61d881a0/70475eafa40f4bfb2c3cb3830d4f78f0f636183a.jpg"" size=""58921"" changedsize=""true"" width=""560"" height=""410"" size=""58921"">",2019-08-06 15:56
['無祂'],"            但是拳头游戏通过Fomos针对此留言进行了否认，自从LZ改名KZ之后就与SN没关系了，也不是同一企业运营，所以关于世界赛资格的传言并不属实。不过对于其他传言并没有所表示，所以真实性也无从考察<br><img class=""BDE_Image"" src=""https://imgsa.baidu.com/forum/w%3D580/sign=67ee3e7057ee3d6d22c687c373146d41/2bbcd32a6059252de2f930d33a9b033b59b5b9c4.jpg"" size=""42343"" changedsize=""true"" width=""560"" height=""663"" size=""42343"">",2019-08-06 15:56
['無祂'],"            记得当初Deft去到KZ的时候还说今年的KZ完全没有拖欠薪水的问题，但是现在的情况真的让人觉得心疼。不少粉丝都希望Deft还是回来吧，起码LPL的待遇还是要好很多的。<br><img class=""BDE_Image"" src=""https://imgsa.baidu.com/forum/w%3D580/sign=0ec2e51da151f3dec3b2b96ca4ecf0ec/724f1dd8bc3eb135a02e9a6ca81ea8d3ff1f44c5.jpg"" size=""38027"" width=""472"" height=""421"" size=""38027"">",2019-08-06 15:57
['無祂'],"            根据爆料网友的叙述，KZ战队一开始是由龙珠直播平台的老板赞助的，原名为Longzhu战队。后来龙珠平台被苏宁集团分支收购，LZ战队也得到苏宁赞助，更名为KZ战队。但之后苏宁集团又在LPL赛区建立了SNG战队，这违反了一个集团只能赞助一个队伍的规则，因此拳头出手干涉。于是苏宁否认了与KZ战队的关系，停止赞助，停发工资，取消直播活动，导致KZ队员受到严重影响，并在洲际赛上展露出强烈的求胜心。<br><br>最终苏宁分支集团称运营战队困难，协议赞助到夏季赛结束，而协议的条件是：“如果SN战队进了世界赛，KZ战队就不能跟着进世界赛；除非SN战队进不去世界赛，KZ战队才能打世界赛。”因此KZ队员心态崩了，成绩肉眼可见的下滑，已经放弃了征战世界赛的梦想。<br><img class=""BDE_Image"" src=""https://imgsa.baidu.com/forum/w%3D580/sign=31c483b741c2d562f208d0e5d71390f3/bb110d23dd54564e1aa4c9eebdde9c82d3584fed.jpg"" size=""29080"" changedsize=""true"" width=""560"" height=""308"" size=""29080"">",2019-08-06 15:58
['無祂'],"            实际上在去年八月，EDG输给LGD战队之后，官推居然点赞了一条网友的消息：“今晚我好相信你！”而那条消息附带的是Deft与Meiko的照片。当时这起事件引起了粉丝的不满，认为EDG官方点赞怀念Deft，活在过去，没有考虑到iBoy的感受！但如今EDG状态低迷，如果Deft愿意回归EDG战队，与iBoy竞争首发位置，粉丝应该不会如此抗拒了吧？<br><br><br><br><img class=""BDE_Image"" src=""https://imgsa.baidu.com/forum/w%3D580/sign=d3c7ff2a75899e51788e3a1c72a6d990/7063cbfc1e178a825f3c5377f803738da877e8af.jpg"" size=""59658"" width=""550"" height=""787"" size=""59658"">",2019-08-06 16:00
['言归苍雪'],            苏宁干的漂亮,2019-08-06 16:19
['经纪人C罗'],            心疼你自己吧。,2019-08-06 16:19
[],            玩了多年LOL从不关注这些 不过看长相这不是中国的吧,2019-08-06 16:19
['陈陈tk'],            关我几把事,2019-08-06 16:20
[],            SN进世界赛？,2019-08-06 16:20
[],            心疼戴先生,2019-08-06 16:21
['果仁却西风'],"            我爱王者我爱王者<img class=""BDE_Smiley"" width=""30"" height=""30"" changedsize=""false"" src=""https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon68.png"" ><img class=""BDE_Smiley"" width=""30"" height=""30"" changedsize=""false"" src=""https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon68.png"" ><img class=""BDE_Smiley"" width=""30"" height=""30"" changedsize=""false"" src=""https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon68.png"" >",2019-08-06 16:22
[],            李宁赞助了lng和grf,2019-08-06 16:25
[],            你能不能先把戴先生名字给人打对了,2019-08-06 16:25
[],            sn进世界赛？,2019-08-06 16:26
[''],"            <img class=""BDE_Image"" src=""https://imgsa.baidu.com/forum/w%3D580/sign=238dedc365600c33f079dec02a4e5134/09b7b6119313b07e826e7edf02d7912395dd8cdf.jpg"" size=""167130"" changedsize=""true"" width=""560"" height=""1151"" size=""167130"">",2019-08-06 16:28
['Sou1Sh'],            建议sn进了世界赛立马把kz全员买过来,2019-08-06 16:28
['徐坤欧巴'],            你心疼尼玛呢？ 饭B圈小姐姐,2019-08-06 16:29
['HaHaen'],            kz队员自己的问题而已输给三星后。状态就崩盘了而已,2019-08-06 16:33
[],            sn进不了s赛吧？,2019-08-06 16:35
['为你思念成盒'],            KZ这么早就自暴自弃了吗？难道他们不知道SN根本没实力进S9吗？,2019-08-06 16:35
[],"            韩杂落泪?<img class=""BDE_Smiley"" width=""30"" height=""30"" changedsize=""false"" src=""https://gsp0.baidu.com/5aAHeD3nKhI2p27j8IqW0jdnxx1xbK/tb/editor/images/client/image_emoticon67.png"" >",2019-08-06 16:36
[],            飞行员,2019-08-06 16:36
[],            太惨了,2019-08-06 16:36
['THE'],            sn进个j8世界赛,2019-08-06 16:37
['星期四吃炸鸡'],            心疼你吗呢,2019-08-06 16:41
[],            sn要进世界赛只能拿夏冠吧,2019-08-06 16:45
